_id,project_id,project_name,project_startDate,project_endDate,project_status,typeOfProject,departmentId,department
66154942efd9a45992622edb,PROJ21120,Yates-Jacobs,01/01/2024,06/07/2025,completed,web development,5e79cd96-279f-45cf-9984-5d822a2632e1,Operations
66154942efd9a45992622edc,PROJ42282,Harrison PLC,30/05/2023,14/10/2024,active,data engineering,b738be0a-f6bb-4c02-882a-c7ac1cabdb01,Delivery
66154942efd9a45992622edd,PROJ53767,"Fernandez, Harris and Reed",08/09/2022,16/02/2024,in progress,data science,9ca17918-0e85-4e94-b2ba-298f26eaf27e,Administration
66154942efd9a45992622ede,PROJ34633,Smith-Lewis,01/07/2023,09/08/2024,active,full stack,b738be0a-f6bb-4c02-882a-c7ac1cabdb01,Delivery
66154942efd9a45992622edf,PROJ17016,Wright-Vargas,17/03/2023,25/09/2024,active,data engineering,9ca17918-0e85-4e94-b2ba-298f26eaf27e,Administration
66154942efd9a45992622ee0,PROJ91431,"Rowland, Johnson and Stephenson",01/12/2022,19/03/2023,active,data science,9ca17918-0e85-4e94-b2ba-298f26eaf27e,Administration
66154942efd9a45992622ee1,PROJ16775,Jones Ltd,16/01/2023,17/11/2024,in progress,web development,b738be0a-f6bb-4c02-882a-c7ac1cabdb01,Delivery
66154942efd9a45992622ee2,PROJ77549,Sanders-Collins,06/09/2023,25/08/2024,in progress,data science,9ca17918-0e85-4e94-b2ba-298f26eaf27e,Administration
66154942efd9a45992622ee3,PROJ51219,Rice and Sons,07/04/2023,04/08/2024,completed,full stack,9ca17918-0e85-4e94-b2ba-298f26eaf27e,Administration
66154942efd9a45992622ee4,PROJ42482,Campbell-Weaver,15/12/2022,25/06/2024,in progress,data science,b738be0a-f6bb-4c02-882a-c7ac1cabdb01,Delivery
66154942efd9a45992622ee5,PROJ63023,Jones Inc,26/08/2023,16/11/2024,completed,full stack,9ca17918-0e85-4e94-b2ba-298f26eaf27e,Administration
66154942efd9a45992622ee6,PROJ28645,"Kennedy, Thompson and Potter",20/10/2023,01/10/2024,in progress,web development,b738be0a-f6bb-4c02-882a-c7ac1cabdb01,Delivery
66154942efd9a45992622ee7,PROJ34843,Johnson-Olson,14/06/2023,14/01/2024,completed,data engineering,b738be0a-f6bb-4c02-882a-c7ac1cabdb01,Delivery
66154942efd9a45992622ee8,PROJ27189,Miles-Lopez,28/04/2022,29/01/2024,completed,data science,5e79cd96-279f-45cf-9984-5d822a2632e1,Operations
